Circmon Q1 Parity Data with circmon testpad radiator, R=4.8kOhm, Area=320*123*2 nm^2
2021Aug Cooldown
Z:\mcdermott-group\data\BlackBody\Circmon\LIU\CW20180514A_Ox2\JJRadiatorQPT_2021Aug19
Z:\mcdermott-group\data\BlackBody\Circmon\LIU\CW20180514A_Ox2\JJRadiatorQPT_2021Aug19_HighDensity
Z:\mcdermott-group\data\BlackBody\Circmon\LIU\CW20180514A_Ox2\JJJRadiatorQPT_HighFreq_2021Aug27
Z:\mcdermott-group\data\BlackBody\Circmon\LIU\CW20180514A_Ox2\JJJRadiatorQPT_LowFreq_2021Aug27
Fitting method Chris' no white noise verison











# [VoltageBias(mDAC), ParityRate(sec^-1)]
#-------------------------------------------------------
0.000000000000000000e+00 2.064628380000000107e+03
2.500000000000000000e+00 2.141599740000000111e+03
5.000000000000000000e+00 2.117537760000000162e+03
7.500000000000000000e+00 2.101005220000000008e+03
1.000000000000000000e+01 1.987883720000000039e+03
1.250000000000000000e+01 1.804001369999999952e+03
1.500000000000000000e+01 1.990098250000000007e+03
1.580000000000000071e+01 2.151223910000000160e+03
1.630000000000000071e+01 2.212165680000000066e+03
1.680000000000000071e+01 2.210657420000000002e+03
1.730000000000000071e+01 2.505457129999999779e+03
1.780000000000000071e+01 2.476817689999999857e+03
1.830000000000000071e+01 2.460352629999999863e+03
1.880000000000000071e+01 2.547056819999999789e+03
1.930000000000000071e+01 2.240516489999999976e+03
1.980000000000000071e+01 2.298917429999999968e+03
2.030000000000000071e+01 2.373336719999999787e+03
2.080000000000000071e+01 2.402582960000000185e+03
2.130000000000000071e+01 2.409693000000000211e+03
2.180000000000000071e+01 2.431445079999999962e+03
2.230000000000000071e+01 2.454681329999999889e+03
2.280000000000000071e+01 3.342899620000000141e+03
2.330000000000000071e+01 3.804064260000000104e+03
2.380000000000000071e+01 4.921923459999999977e+03
2.430000000000000071e+01 4.856535869999999704e+03
2.480000000000000071e+01 6.058774269999999888e+03
2.530000000000000071e+01 5.150483199999999670e+03
2.580000000000000071e+01 5.163339799999999741e+03
2.630000000000000071e+01 4.497183960000000297e+03
2.680000000000000071e+01 3.845499169999999867e+04
2.730000000000000071e+01 7.511882020000000193e+04
2.780000000000000071e+01 7.562420519999999669e+04
2.830000000000000071e+01 6.080983310000000347e+04
2.880000000000000071e+01 5.245669380000000092e+04
2.930000000000000071e+01 9.823755240000000413e+03
2.980000000000000071e+01 5.271415799999999763e+03
3.030000000000000071e+01 1.091393570000000000e+04
3.080000000000000071e+01 9.002090340000000651e+03
3.130000000000000071e+01 1.227928410000000076e+04
3.180000000000000071e+01 7.593130290000000059e+03
3.229999999999999716e+01 1.033852419999999984e+04
3.279999999999999716e+01 5.994199719999999616e+03
3.329999999999999716e+01 5.923988099999999577e+03
3.379999999999999716e+01 5.231913679999999658e+03
3.429999999999999716e+01 4.958314599999999700e+03
3.479999999999999716e+01 5.072522320000000036e+03
3.529999999999999716e+01 5.595507510000000366e+03
3.579999999999999716e+01 5.768812759999999798e+03
3.629999999999999716e+01 5.607441649999999754e+03
3.679999999999999716e+01 4.874764489999999569e+03
3.729999999999999716e+01 4.871679860000000190e+03
3.779999999999999716e+01 4.439622680000000400e+03
3.829999999999999716e+01 4.399829639999999927e+03
3.879999999999999716e+01 4.841670210000000225e+03
3.929999999999999716e+01 5.458040070000000014e+03
3.979999999999999716e+01 5.277544050000000425e+03
4.029999999999999716e+01 6.468613299999999981e+03
4.079999999999999716e+01 6.252289740000000165e+03
4.129999999999999716e+01 4.839290479999999661e+03
4.179999999999999716e+01 4.506980459999999766e+03
4.229999999999999716e+01 5.296178619999999682e+03
4.279999999999999716e+01 5.651082510000000184e+03
4.329999999999999716e+01 5.643391400000000431e+03
4.379999999999999716e+01 5.637873849999999948e+03
4.429999999999999716e+01 5.936783169999999700e+03
4.479999999999999716e+01 6.315344290000000001e+03
4.529999999999999716e+01 6.376494219999999586e+03
4.579999999999999716e+01 7.191051989999999932e+03
4.629999999999999716e+01 6.778680910000000040e+03
4.679999999999999716e+01 6.303077529999999570e+03
4.729999999999999716e+01 6.626887039999999615e+03
4.779999999999999716e+01 5.411973390000000109e+03
4.829999999999999716e+01 4.751568430000000262e+03
4.879999999999999716e+01 5.708731420000000071e+03
4.929999999999999716e+01 5.881936359999999695e+03
4.979999999999999716e+01 5.658120369999999639e+03
5.029999999999999716e+01 5.334820480000000316e+03
5.079999999999999716e+01 5.479888140000000021e+03
5.129999999999999716e+01 5.571635210000000370e+03
5.179999999999999716e+01 5.411446259999999711e+03
5.229999999999999716e+01 7.589244230000000243e+03
5.279999999999999716e+01 7.451641400000000431e+03
5.329999999999999716e+01 6.628031659999999647e+03
5.379999999999999716e+01 6.235253349999999955e+03
5.429999999999999716e+01 6.609898199999999633e+03
