Circmon Q1 P1 Data with circmon testpad radiator, R=4.8kOhm, Area=320*123*2 nm^2
2021Aug Cooldown
















# [VoltageBias(mDAC), rate(Hz)]
#-------------------------------------------------------
0.000000000000000000e+00 6.200627136712972742e+02
1.000000000000000000e+01 4.862881916868099097e+02
1.630000000000000071e+01 8.037921796746616110e+02
1.830000000000000071e+01 3.825405837806571299e+02
2.030000000000000071e+01 3.837349184010038812e+02
2.230000000000000071e+01 3.463137995572849377e+02
2.430000000000000071e+01 2.173213483178435013e+02
2.630000000000000071e+01 8.956668854731836973e+02
2.830000000000000071e+01 2.734544812597538566e+03
3.030000000000000071e+01 2.018063712883123571e+03
3.229899999999999949e+01 1.665334748001568414e+03
3.429999999999999716e+01 1.362611582180657933e+03
3.629999999999999716e+01 6.385092229387370253e+02
3.829999999999999716e+01 6.611268598015357156e+02
4.029999999999999716e+01 9.310606001603879349e+02
4.229999999999999716e+01 9.284776393442951985e+02
4.429999999999999716e+01 2.667540832304777041e+02
4.629999999999999716e+01 4.791994488275103095e+02
4.829999999999999716e+01 4.175183311581792012e+00
5.029999999999999716e+01 8.750391145686553500e+02
5.229999999999999716e+01 1.329186199833748390e+02
5.429999999999999716e+01 1.151222677167516395e+03
5.629999999999999716e+01 9.165174677182177447e+02
5.829999999999999716e+01 9.742774517325207171e+02
6.029999999999999716e+01 1.137866984543735953e+03
7.500000000000000000e+01 1.029424648024712042e+03
9.500000000000000000e+01 1.529685704287928957e+03
1.150000000000000000e+02 1.265846108139407988e+03
1.350000000000000000e+02 1.545910606411295930e+03
