Circmon Q2 Up Data with circmon testpad radiator, R=4.8kOhm, Area=320*123*2 nm^2
2021Aug Cooldown
















# [VoltageBias(mDAC), rate(Hz)]
#-------------------------------------------------------
0.000000000000000000e+00 7.282991087662466043e+02
1.000000000000000000e+01 6.116808777606449894e+02
1.630000000000000071e+01 7.445164654924899423e+02
1.830000000000000071e+01 6.586689067591509001e+02
2.030000000000000071e+01 7.102774034594493742e+02
2.230000000000000071e+01 6.883688409998467250e+02
2.430000000000000071e+01 8.063262210436632813e+02
2.630000000000000071e+01 7.456888383836901539e+02
2.830000000000000071e+01 6.611472588586761958e+02
3.030000000000000071e+01 6.233826763599539618e+02
3.229999999999999716e+01 7.267666924922605176e+02
3.429999999999999716e+01 6.971055525738976257e+02
3.629999999999999716e+01 7.173476643159975765e+02
3.829999999999999716e+01 7.685252308641572654e+02
4.029999999999999716e+01 7.465823142635509839e+02
4.229999999999999716e+01 6.769379979640841611e+02
4.429999999999999716e+01 7.049497605508332754e+02
4.629999999999999716e+01 6.926086301920960295e+02
4.829999999999999716e+01 7.581349288492210690e+02
5.029999999999999716e+01 6.048742838880169757e+02
5.229999999999999716e+01 8.274238690818469877e+02
5.429999999999999716e+01 7.678600221940564552e+02
5.629999999999999716e+01 9.014014793589157080e+02
5.829999999999999716e+01 8.304803702685745748e+02
6.029999999999999716e+01 7.132023084308814305e+02
6.979999999999999716e+01 7.997262678737098440e+02
7.779999999999999716e+01 8.144998423031001948e+02
8.579999999999999716e+01 7.817378084436779773e+02
9.379999999999999716e+01 7.439537345480927115e+02
1.017999999999999972e+02 7.371764503061800724e+02
1.097999999999999972e+02 6.906495856217517257e+02
1.177999999999999972e+02 7.219342541907898294e+02
1.257999999999999972e+02 7.573131120613275016e+02
1.338000000000000114e+02 7.662044050790982510e+02
1.418000000000000114e+02 7.361316444858515524e+02
1.498000000000000114e+02 6.547181995759010533e+02
1.578000000000000114e+02 7.950554600999014383e+02
1.658000000000000114e+02 8.803966890113246109e+02
1.738000000000000114e+02 8.852770289365768122e+02
1.818000000000000114e+02 7.533596055405384959e+02
1.898000000000000114e+02 9.038907719185719998e+02
1.978000000000000114e+02 1.029789311125239237e+03
2.058000000000000114e+02 1.055309414835285907e+03
2.138000000000000114e+02 9.357925320102490332e+02
2.218000000000000114e+02 1.053951018360977969e+03
2.298000000000000114e+02 9.498658069362584229e+02
