# Circmon Circ radiator Q4 fitted by Dave
#('Q4_J2Bias=', [39000])
#('Q4_J2ParityRate=', [612.377138407917])
#('Q4_J2ParityUncertainty=', [4.484381178011137])
#('Q4_J2Fidelity=', [0.6806103028660097])













# [Frequency(Hz), PSD]
#-------------------------------------------------------
1.600000000000000000e+01 7.980269149999999955e-04
2.000000000000000000e+01 7.760348260000000508e-04
2.400000000000000000e+01 7.447701160000000375e-04
2.800000000000000000e+01 7.677702509999999488e-04
3.200000000000000000e+01 7.852397019999999813e-04
3.600000000000000000e+01 7.884055810000000072e-04
4.000000000000000000e+01 7.826338900000000482e-04
4.400000000000000000e+01 7.597658450000000126e-04
4.800000000000000000e+01 7.269439610000000317e-04
5.200000000000000000e+01 7.048520549999999496e-04
5.600000000000000000e+01 6.966841670000000234e-04
6.000000000000000000e+01 6.975932279999999975e-04
6.400000000000000000e+01 6.840022639999999900e-04
6.800000000000000000e+01 6.885414949999999531e-04
7.200000000000000000e+01 6.894957070000000323e-04
7.600000000000000000e+01 6.904968719999999551e-04
8.000000000000000000e+01 6.781230210000000098e-04
8.400000000000000000e+01 6.714900269999999564e-04
8.800000000000000000e+01 6.661841379999999943e-04
9.200000000000000000e+01 6.523042780000000082e-04
9.600000000000000000e+01 6.430136780000000061e-04
1.000000000000000000e+02 6.316110879999999950e-04
1.040000000000000000e+02 6.235161319999999721e-04
1.080000000000000000e+02 6.065020519999999834e-04
1.120000000000000000e+02 5.987228600000000242e-04
1.160000000000000000e+02 5.881008770000000028e-04
1.200000000000000000e+02 5.790189560000000204e-04
1.240000000000000000e+02 5.668353099999999707e-04
1.280000000000000000e+02 5.572150260000000152e-04
1.320000000000000000e+02 5.468989459999999952e-04
1.360000000000000000e+02 5.367230139999999618e-04
1.400000000000000000e+02 5.257596380000000447e-04
1.440000000000000000e+02 5.153895739999999779e-04
1.480000000000000000e+02 5.055015960000000010e-04
1.520000000000000000e+02 4.981718190000000322e-04
1.560000000000000000e+02 4.911881380000000319e-04
1.600000000000000000e+02 4.812105920000000017e-04
1.640000000000000000e+02 4.714084349999999798e-04
1.680000000000000000e+02 4.624445459999999928e-04
1.720000000000000000e+02 4.536625050000000093e-04
1.760000000000000000e+02 4.464758309999999832e-04
1.800000000000000000e+02 4.358457520000000025e-04
1.840000000000000000e+02 4.278761460000000071e-04
1.880000000000000000e+02 4.188125870000000001e-04
1.920000000000000000e+02 4.087170489999999773e-04
1.960000000000000000e+02 3.995344679999999734e-04
2.000000000000000000e+02 3.916846230000000035e-04
2.040000000000000000e+02 3.855137650000000130e-04
2.080000000000000000e+02 3.789813069999999886e-04
2.120000000000000000e+02 3.720483549999999769e-04
2.160000000000000000e+02 3.639217300000000248e-04
2.200000000000000000e+02 3.576482740000000047e-04
2.240000000000000000e+02 3.507890530000000104e-04
2.280000000000000000e+02 3.441381630000000169e-04
2.320000000000000000e+02 3.378864790000000074e-04
2.360000000000000000e+02 3.318818089999999821e-04
2.400000000000000000e+02 3.260250000000000235e-04
2.440000000000000000e+02 3.195377479999999930e-04
2.480000000000000000e+02 3.137173140000000244e-04
2.520000000000000000e+02 3.090782970000000170e-04
2.560000000000000000e+02 3.029636770000000115e-04
2.600000000000000000e+02 2.969461489999999731e-04
2.640000000000000000e+02 2.918800739999999794e-04
