Circmon Q1 Parity Data with SFQ testpad rectmon radiator, strong, R=8 kOhm
2021Oct Cooldown
Z:\mcdermott-group\data\Antenna\Circmon\Liu\CW20180514A_Ox2\2021Oct16_QB124_PSD_J6Radiator
Fitting method Chris' no white noise verison














# [VoltageBias(mDAC), ParityRate(sec^-1)]
#-------------------------------------------------------
0.000000000000000000e+00 1.078680000000000064e+03
2.500000000000000000e+00 9.998200000000000500e+02
5.000000000000000000e+00 1.016909999999999968e+03
7.500000000000000000e+00 1.034039999999999964e+03
1.000000000000000000e+01 1.015610000000000014e+03
1.250000000000000000e+01 1.085170000000000073e+03
1.500000000000000000e+01 1.018179999999999950e+03
1.500000000000000000e+01 1.018179999999999950e+03
1.600000000000000000e+01 9.678600000000000136e+02
1.700000000000000000e+01 1.103880000000000109e+03
1.800000000000000000e+01 1.119759999999999991e+03
1.900000000000000000e+01 9.785900000000000318e+02
2.000000000000000000e+01 1.078549999999999955e+03
2.100000000000000000e+01 1.004539999999999964e+03
2.200000000000000000e+01 1.161920000000000073e+03
2.300000000000000000e+01 1.150859999999999900e+03
2.400000000000000000e+01 3.135679999999999836e+03
2.500000000000000000e+01 5.569890000000000327e+03
2.600000000000000000e+01 6.598090000000000146e+03
2.700000000000000000e+01 5.670770000000000437e+03
2.800000000000000000e+01 4.281140000000000327e+03
2.900000000000000000e+01 5.000000000000000000e+03
3.000000000000000000e+01 3.293889999999999873e+03
3.100000000000000000e+01 3.982480000000000018e+03
3.200000000000000000e+01 3.104039999999999964e+03
3.300000000000000000e+01 2.834329999999999927e+03
3.400000000000000000e+01 4.581579999999999927e+03
3.500000000000000000e+01 3.190309999999999945e+03
3.600000000000000000e+01 3.472429999999999836e+03
3.700000000000000000e+01 2.238869999999999891e+03
3.800000000000000000e+01 3.568639999999999873e+03
3.900000000000000000e+01 2.091320000000000164e+03
4.000000000000000000e+01 5.519560000000000400e+03
4.100000000000000000e+01 3.188280000000000200e+03
4.200000000000000000e+01 2.752900000000000091e+03
4.300000000000000000e+01 3.645670000000000073e+03
4.400000000000000000e+01 2.851070000000000164e+03
4.500000000000000000e+01 3.528769999999999982e+03
4.600000000000000000e+01 3.584030000000000200e+03
4.700000000000000000e+01 3.240239999999999782e+03
4.800000000000000000e+01 2.713079999999999927e+03
4.900000000000000000e+01 2.704800000000000182e+03
5.000000000000000000e+01 2.821119999999999891e+03
5.100000000000000000e+01 2.087320000000000164e+03
5.200000000000000000e+01 2.302360000000000127e+03
5.300000000000000000e+01 2.615760000000000218e+03
5.400000000000000000e+01 2.563199999999999818e+03
5.500000000000000000e+01 2.604920000000000073e+03
5.600000000000000000e+01 2.149329999999999927e+03
5.700000000000000000e+01 2.082000000000000000e+03
5.800000000000000000e+01 2.092849999999999909e+03
5.900000000000000000e+01 1.947210000000000036e+03
6.000000000000000000e+01 2.143519999999999982e+03
6.100000000000000000e+01 1.988769999999999982e+03
6.200000000000000000e+01 1.712500000000000000e+03
6.300000000000000000e+01 1.786170000000000073e+03
6.400000000000000000e+01 1.965380000000000109e+03
6.500000000000000000e+01 1.852609999999999900e+03
6.600000000000000000e+01 1.825279999999999973e+03
6.700000000000000000e+01 1.778410000000000082e+03
6.800000000000000000e+01 2.083519999999999982e+03
6.900000000000000000e+01 2.023109999999999900e+03
7.000000000000000000e+01 1.867650000000000091e+03
7.100000000000000000e+01 1.938539999999999964e+03
7.200000000000000000e+01 1.865529999999999973e+03
7.300000000000000000e+01 1.877289999999999964e+03
7.400000000000000000e+01 1.817140000000000100e+03
7.500000000000000000e+01 1.865920000000000073e+03
7.600000000000000000e+01 1.656630000000000109e+03
7.700000000000000000e+01 1.616980000000000018e+03
7.800000000000000000e+01 1.806200000000000045e+03
7.900000000000000000e+01 1.566450000000000045e+03
8.000000000000000000e+01 1.886480000000000018e+03
8.100000000000000000e+01 1.692769999999999982e+03
8.200000000000000000e+01 1.714680000000000064e+03
8.300000000000000000e+01 1.856380000000000109e+03
8.400000000000000000e+01 1.795640000000000100e+03
8.500000000000000000e+01 1.644990000000000009e+03
8.600000000000000000e+01 1.522690000000000055e+03
8.700000000000000000e+01 1.804430000000000064e+03
8.800000000000000000e+01 1.895920000000000073e+03
8.900000000000000000e+01 1.783539999999999964e+03
9.000000000000000000e+01 1.535049999999999955e+03
9.100000000000000000e+01 1.570009999999999991e+03
9.200000000000000000e+01 1.989819999999999936e+03
9.300000000000000000e+01 2.555789999999999964e+03
9.400000000000000000e+01 4.342840000000000146e+03
9.500000000000000000e+01 4.228760000000000218e+03
