Circmon Q4 P1 Data with SFQ testpad rectmon radiator, strong, R=8 kOhm
2021Oct Cooldown
Z:\mcdermott-group\data\Antenna\Circmon\Liu\CW20180514A_Ox2\2021Nov04_QB124_P1PSD_J8Radiator_Sim















# [VoltageBias(mV), P1, std]
#-------------------------------------------------------
0.000000000000000000e+00 5.238999999999999907e-02 1.069145453154059710e-03
1.000000000000000000e+01 5.390000000000000346e-02 1.407142494561229541e-03
2.000000000000000000e+01 5.281999999999999890e-02 1.131370849898476064e-03
3.000000000000000000e+01 5.197999999999999843e-02 1.310975972319859207e-03
4.000000000000000000e+01 5.126000000000000001e-02 1.202081528017130913e-03
5.000000000000000000e+01 5.186999999999999944e-02 1.060660171779821215e-03
6.000000000000000000e+01 5.215000000000000191e-02 1.286934341759516515e-03
6.500000000000000000e+01 5.165999999999999759e-02 1.298248050258501247e-03
7.000000000000000000e+01 5.272000000000000297e-02 1.183696751706280696e-03
7.500000000000000000e+01 5.315000000000000280e-02 1.197838887330011448e-03
8.000000000000000000e+01 5.249000000000000193e-02 9.644936495384507725e-04
8.500000000000000000e+01 5.093000000000000305e-02 1.152584053334072302e-03
9.000000000000000000e+01 5.165000000000000147e-02 1.298248050258501247e-03
9.500000000000000000e+01 5.118000000000000327e-02 1.210566809391369408e-03
1.000000000000000000e+02 5.165000000000000147e-02 9.998489885977780885e-04
1.050000000000000000e+02 5.294999999999999707e-02 1.144098771959833807e-03
1.100000000000000000e+02 5.188999999999999863e-02 1.199253100892384459e-03
1.150000000000000000e+02 5.224000000000000171e-02 1.261478497636800812e-03
1.200000000000000000e+02 5.253000000000000030e-02 1.187939392393399726e-03
1.250000000000000000e+02 5.210999999999999660e-02 1.170968829644922519e-03
1.300000000000000000e+02 5.265999999999999848e-02 1.299662263820874257e-03
1.350000000000000000e+02 5.258000000000000174e-02 1.221880517890354140e-03
1.400000000000000000e+02 5.407000000000000001e-02 1.377444009751394591e-03
1.450000000000000000e+02 5.213000000000000272e-02 1.196424673767638438e-03
1.500000000000000000e+02 5.478999999999999843e-02 1.142684558397460796e-03
1.550000000000000000e+02 5.358000000000000262e-02 1.152584053334072302e-03
1.600000000000000000e+02 5.344000000000000139e-02 1.216223663640861666e-03
1.650000000000000000e+02 5.566999999999999726e-02 1.197838887330011448e-03
1.700000000000000000e+02 5.433000000000000329e-02 1.146927199084579827e-03
1.750000000000000000e+02 5.399999999999999939e-02 1.169554616082549509e-03
1.800000000000000000e+02 5.480999999999999761e-02 1.261478497636800812e-03
1.850000000000000000e+02 5.623999999999999833e-02 1.138441917710341549e-03
1.900000000000000000e+02 5.686999999999999694e-02 1.289762768884262535e-03
1.950000000000000000e+02 5.870000000000000218e-02 1.226123158577473388e-03
2.000000000000000000e+02 6.360999999999999988e-02 1.428355697996825996e-03
2.050000000000000000e+02 6.705999999999999461e-02 1.472196318430391915e-03
2.100000000000000000e+02 5.825000000000000316e-02 1.411385135248348788e-03
2.150000000000000000e+02 6.203000000000000180e-02 1.080459161653044660e-03
2.200000000000000000e+02 6.623999999999999333e-02 1.333603389317828455e-03
2.250000000000000000e+02 6.618000000000000271e-02 1.190767819518145964e-03
2.300000000000000000e+02 6.889000000000000679e-02 1.441083620058183738e-03
2.350000000000000000e+02 6.701999999999999624e-02 1.151169839771699292e-03
2.400000000000000000e+02 6.414999999999999869e-02 1.547149637236166012e-03
2.450000000000000000e+02 6.339000000000000190e-02 1.301076477383247268e-03
2.500000000000000000e+02 6.004000000000000309e-02 1.385929291125633086e-03
2.550000000000000000e+02 6.351999999999999313e-02 1.336431816442574692e-03
2.600000000000000000e+02 6.327000000000000679e-02 1.391586145375125344e-03
2.650000000000000000e+02 6.332999999999999741e-02 1.060660171779821215e-03
2.700000000000000000e+02 6.133999999999999869e-02 1.268549565448666297e-03
2.750000000000000000e+02 6.217000000000000304e-02 1.302490690945620495e-03
2.800000000000000000e+02 6.388000000000000622e-02 1.214809450078488656e-03
2.850000000000000000e+02 6.226000000000000284e-02 1.346331311379186631e-03
2.900000000000000000e+02 5.764999999999999986e-02 1.186525178831026716e-03
2.950000000000000000e+02 5.639999999999999875e-02 1.323703894381216949e-03
3.000000000000000000e+02 5.432000000000000023e-02 1.223294731452727151e-03
3.050000000000000000e+02 5.680999999999999939e-02 1.452397328557168471e-03
3.100000000000000000e+02 5.874999999999999667e-02 1.397242999624617819e-03
3.150000000000000000e+02 5.798999999999999988e-02 1.326532321505962970e-03
3.200000000000000000e+02 5.623999999999999833e-02 1.309561758757485763e-03
3.250000000000000000e+02 5.911999999999999894e-02 1.149755626209326281e-03
3.300000000000000000e+02 5.868000000000000299e-02 1.292591196009008989e-03
3.350000000000000000e+02 5.931999999999999773e-02 1.305319118070366732e-03
3.400000000000000000e+02 5.730999999999999983e-02 1.286934341759516515e-03
3.450000000000000000e+02 5.714999999999999941e-02 1.169554616082549509e-03
3.500000000000000000e+02 5.761000000000000149e-02 1.500480589677853638e-03
3.550000000000000000e+02 5.698000000000000287e-02 1.166726188957803488e-03
3.600000000000000000e+02 5.585999999999999993e-02 1.105915005775760362e-03
