Circmon Q1 Parity Data with SFQ testpad rectmon radiator, weak, R=16 kOhm
2021Oct Cooldown
Z:\mcdermott-group\data\Antenna\Circmon\Liu\CW20180514A_Ox2\2021Nov12_QB12_PSD_J6Radiator_Sim
Z:\mcdermott-group\data\Antenna\Circmon\Liu\CW20180514A_Ox2\2021Nov16_QB4_PSD_J6Radiator_Sim
Fitting method Chris' no white noise verison













# [VoltageBias(mV), ParityRate(sec^-1)]
#-------------------------------------------------------
0.000000000000000000e+00 1.009340000000000032e+03
1.000000000000000000e+01 9.585800000000000409e+02
2.000000000000000000e+01 1.145829999999999927e+03
3.000000000000000000e+01 1.046750000000000000e+03
4.000000000000000000e+01 1.160410000000000082e+03
5.000000000000000000e+01 9.448899999999999864e+02
6.000000000000000000e+01 1.210190000000000055e+03
6.500000000000000000e+01 1.009629999999999995e+03
7.000000000000000000e+01 9.623500000000000227e+02
7.500000000000000000e+01 1.140019999999999982e+03
8.000000000000000000e+01 1.023090000000000032e+03
8.500000000000000000e+01 9.502699999999999818e+02
9.000000000000000000e+01 1.115450000000000045e+03
9.500000000000000000e+01 1.010860000000000014e+03
1.000000000000000000e+02 1.010149999999999977e+03
1.050000000000000000e+02 9.417799999999999727e+02
1.100000000000000000e+02 1.220460000000000036e+03
1.150000000000000000e+02 3.437570000000000164e+03
1.200000000000000000e+02 4.664579999999999927e+03
1.250000000000000000e+02 5.172300000000000182e+03
1.300000000000000000e+02 4.358899999999999636e+03
1.350000000000000000e+02 4.078989999999999782e+03
1.400000000000000000e+02 3.504630000000000109e+03
1.450000000000000000e+02 2.565519999999999982e+03
1.500000000000000000e+02 2.402980000000000018e+03
1.550000000000000000e+02 2.252699999999999818e+03
1.600000000000000000e+02 2.143960000000000036e+03
1.650000000000000000e+02 2.867329999999999927e+03
1.700000000000000000e+02 2.797360000000000127e+03
1.750000000000000000e+02 2.298000000000000000e+03
1.800000000000000000e+02 2.121929999999999836e+03
1.850000000000000000e+02 1.866509999999999991e+03
1.900000000000000000e+02 2.393170000000000073e+03
1.950000000000000000e+02 3.000949999999999818e+03
2.000000000000000000e+02 3.228920000000000073e+03
2.050000000000000000e+02 2.731989999999999782e+03
2.100000000000000000e+02 4.102090000000000146e+03
2.150000000000000000e+02 2.740090000000000146e+03
2.200000000000000000e+02 2.366989999999999782e+03
2.250000000000000000e+02 2.074190000000000055e+03
2.300000000000000000e+02 2.532389999999999873e+03
2.350000000000000000e+02 2.125400000000000091e+03
2.400000000000000000e+02 1.961890000000000100e+03
2.450000000000000000e+02 1.994410000000000082e+03
2.500000000000000000e+02 1.631029999999999973e+03
2.550000000000000000e+02 1.733200000000000045e+03
2.600000000000000000e+02 1.552789999999999964e+03
2.650000000000000000e+02 1.505569999999999936e+03
2.700000000000000000e+02 1.453079999999999927e+03
2.750000000000000000e+02 1.596240000000000009e+03
2.800000000000000000e+02 1.432319999999999936e+03
2.850000000000000000e+02 1.493910000000000082e+03
2.900000000000000000e+02 1.538859999999999900e+03
2.950000000000000000e+02 1.804630000000000109e+03
3.000000000000000000e+02 1.614509999999999991e+03
3.050000000000000000e+02 1.580930000000000064e+03
3.100000000000000000e+02 1.528130000000000109e+03
3.150000000000000000e+02 1.682049999999999955e+03
3.200000000000000000e+02 1.507640000000000100e+03
3.250000000000000000e+02 1.496160000000000082e+03
3.300000000000000000e+02 1.612509999999999991e+03
3.350000000000000000e+02 1.797430000000000064e+03
3.400000000000000000e+02 1.642420000000000073e+03
3.450000000000000000e+02 1.414630000000000109e+03
3.500000000000000000e+02 1.333240000000000009e+03
3.550000000000000000e+02 1.471759999999999991e+03
3.600000000000000000e+02 1.455640000000000100e+03
3.650000000000000000e+02 1.274009999999999991e+03
3.700000000000000000e+02 1.213630000000000109e+03
3.750000000000000000e+02 1.250930000000000064e+03
3.800000000000000000e+02 1.262279999999999973e+03
3.850000000000000000e+02 1.188309999999999945e+03
3.900000000000000000e+02 1.350990000000000009e+03
3.950000000000000000e+02 1.381670000000000073e+03
4.000000000000000000e+02 1.434279999999999973e+03
4.050000000000000000e+02 1.381460000000000036e+03
4.100000000000000000e+02 1.514369999999999891e+03
4.150000000000000000e+02 1.276579999999999927e+03
4.200000000000000000e+02 1.198759999999999991e+03
4.250000000000000000e+02 1.342480000000000018e+03
4.300000000000000000e+02 1.600779999999999973e+03
4.350000000000000000e+02 1.932089999999999918e+03
4.400000000000000000e+02 3.354679999999999836e+03
4.450000000000000000e+02 2.190769999999999982e+03
4.500000000000000000e+02 4.330970000000000255e+03
4.550000000000000000e+02 4.096649999999999636e+03
4.550000000000000000e+02 4.096649999999999636e+03
4.600000000000000000e+02 4.260119999999999891e+03
4.650000000000000000e+02 4.579529999999999745e+03
4.700000000000000000e+02 5.555069999999999709e+03
4.750000000000000000e+02 6.303840000000000146e+03
4.800000000000000000e+02 5.552770000000000437e+03
4.850000000000000000e+02 4.612550000000000182e+03
4.900000000000000000e+02 5.192220000000000255e+03
4.950000000000000000e+02 6.452489999999999782e+03
5.000000000000000000e+02 6.584319999999999709e+03
5.050000000000000000e+02 5.684130000000000109e+03
5.100000000000000000e+02 5.332560000000000400e+03
5.150000000000000000e+02 5.229720000000000255e+03
5.200000000000000000e+02 5.744560000000000400e+03
