Circmon Q2 P1 Data with SFQ testpad rectmon radiator, weak, R=16 kOhm
2021Oct Cooldown
Z:\mcdermott-group\data\Antenna_Temporary\Circmon\Liu\CW20180514A_Ox2\2021Nov02_QB124_P1_J6Radiator_Sim















# [VoltageBias(mV), P1, std]
#-------------------------------------------------------
0.000000000000000000e+00 6.673999999999999377e-02 5.250974957091302311e-03
1.000000000000000000e+01 6.915999999999999925e-02 6.286179284748407391e-03
2.000000000000000000e+01 6.550000000000000266e-02 5.170364784036035957e-03
3.000000000000000000e+01 6.801000000000000101e-02 5.129352590727214757e-03
4.000000000000000000e+01 6.115000000000000296e-02 5.060056126170934220e-03
5.000000000000000000e+01 7.327000000000000179e-02 5.809589314228673883e-03
6.000000000000000000e+01 6.880999999999999617e-02 5.242489675717063383e-03
6.500000000000000000e+01 6.278000000000000247e-02 4.857823586751581178e-03
7.000000000000000000e+01 6.857000000000000595e-02 5.673824812240857961e-03
7.500000000000000000e+01 6.386000000000000010e-02 5.137837872101454553e-03
8.000000000000000000e+01 6.504000000000000059e-02 4.997830729426518299e-03
8.500000000000000000e+01 6.618999999999999884e-02 4.775799200133942247e-03
9.000000000000000000e+01 5.630999999999999894e-02 3.975354323830769879e-03
9.500000000000000000e+01 5.997000000000000247e-02 4.361434626358624660e-03
1.000000000000000000e+02 5.995000000000000329e-02 4.767313918759702451e-03
1.050000000000000000e+02 7.537000000000000643e-02 5.024700787111606795e-03
1.100000000000000000e+02 6.237999999999999795e-02 5.457450137197773082e-03
1.150000000000000000e+02 5.824000000000000010e-02 4.129503602129437102e-03
1.200000000000000000e+02 6.083999999999999825e-02 4.181829503937241517e-03
1.250000000000000000e+02 5.888000000000000178e-02 3.310673949515415600e-03
1.300000000000000000e+02 6.180999999999999689e-02 3.849489316779564595e-03
1.350000000000000000e+02 6.022999999999999882e-02 3.634528855298854028e-03
1.400000000000000000e+02 6.474000000000000588e-02 3.596345089114780583e-03
1.450000000000000000e+02 6.001000000000000084e-02 3.423811034505262925e-03
1.500000000000000000e+02 6.560000000000000553e-02 3.785849706472775231e-03
1.550000000000000000e+02 5.666000000000000203e-02 3.527048624558499178e-03
1.600000000000000000e+02 5.904999999999999832e-02 3.843832462530072120e-03
1.650000000000000000e+02 6.139000000000000012e-02 3.726452736853104897e-03
1.700000000000000000e+02 5.729000000000000065e-02 3.241377484959133762e-03
1.750000000000000000e+02 6.306000000000000494e-02 3.245620125646253226e-03
1.800000000000000000e+02 6.004999999999999921e-02 3.650085204484958008e-03
1.850000000000000000e+02 5.827000000000000235e-02 3.645842563797838977e-03
1.900000000000000000e+02 5.881999999999999729e-02 3.590688234865288108e-03
1.950000000000000000e+02 6.038999999999999924e-02 3.463409014251709814e-03
2.000000000000000000e+02 6.471000000000000363e-02 3.453509519315097875e-03
2.050000000000000000e+02 6.214999999999999691e-02 3.573717672116811118e-03
2.100000000000000000e+02 6.101999999999999785e-02 3.300774454578803661e-03
2.150000000000000000e+02 6.071000000000000008e-02 3.654327845172077038e-03
2.200000000000000000e+02 6.383999999999999397e-02 3.804234482783625665e-03
2.250000000000000000e+02 6.180999999999999689e-02 3.480379577000186804e-03
2.300000000000000000e+02 6.237000000000000183e-02 3.831104540468714161e-03
2.350000000000000000e+02 6.376999999999999336e-02 3.344615075012369581e-03
2.400000000000000000e+02 6.345000000000000639e-02 3.756151221662940281e-03
2.450000000000000000e+02 6.895999999999999353e-02 4.310522938113193689e-03
2.500000000000000000e+02 6.332999999999999741e-02 4.027680225638574293e-03
2.550000000000000000e+02 6.183999999999999914e-02 3.395526763257800985e-03
2.600000000000000000e+02 6.586000000000000187e-02 4.399618392542698105e-03
2.650000000000000000e+02 6.422999999999999543e-02 4.181829503937241517e-03
2.700000000000000000e+02 7.119000000000000328e-02 4.262439676992508739e-03
2.750000000000000000e+02 6.244000000000000244e-02 4.133746242816556567e-03
2.800000000000000000e+02 6.325999999999999679e-02 4.217184842996568941e-03
2.850000000000000000e+02 6.665999999999999703e-02 3.775950211536163725e-03
2.900000000000000000e+02 6.639000000000000457e-02 4.590537223463067064e-03
2.950000000000000000e+02 6.557999999999999940e-02 4.391133111168460043e-03
3.000000000000000000e+02 6.390999999999999459e-02 4.334564568673536164e-03
3.050000000000000000e+02 6.147999999999999993e-02 4.081420341008752152e-03
3.100000000000000000e+02 6.281000000000000472e-02 4.167687368313510547e-03
3.150000000000000000e+02 6.278000000000000247e-02 4.480228565597965326e-03
3.200000000000000000e+02 6.295000000000000595e-02 3.898986791462622989e-03
3.250000000000000000e+02 6.719999999999999585e-02 4.401032606105071548e-03
3.300000000000000000e+02 6.650000000000000355e-02 4.259611249867761851e-03
3.350000000000000000e+02 6.248999999999999694e-02 3.918785781335846000e-03
3.400000000000000000e+02 6.277000000000000635e-02 4.023437584951454829e-03
3.450000000000000000e+02 6.547999999999999654e-02 4.446287440101011346e-03
3.500000000000000000e+02 6.386999999999999622e-02 4.197385853123345931e-03
3.550000000000000000e+02 6.686999999999999889e-02 4.399618392542698105e-03
3.600000000000000000e+02 6.450000000000000178e-02 4.364263053483370680e-03
3.650000000000000000e+02 6.750000000000000444e-02 4.276581812616238841e-03
3.700000000000000000e+02 6.442000000000000504e-02 3.857974598153803090e-03
3.750000000000000000e+02 6.711000000000000298e-02 4.164858941188764527e-03
3.800000000000000000e+02 6.617000000000000659e-02 3.364414064885592592e-03
3.850000000000000000e+02 6.386999999999999622e-02 3.495935926186290784e-03
3.900000000000000000e+02 6.474000000000000588e-02 3.833932967593460181e-03
3.950000000000000000e+02 6.557000000000000328e-02 3.688268970669031453e-03
4.000000000000000000e+02 6.704999999999999849e-02 3.877773588027026534e-03
4.050000000000000000e+02 6.376999999999999336e-02 3.849489316779564595e-03
4.100000000000000000e+02 6.317000000000000393e-02 3.959797974644666332e-03
4.150000000000000000e+02 6.414000000000000257e-02 3.596345089114780583e-03
4.200000000000000000e+02 6.414000000000000257e-02 4.020609157826708809e-03
4.250000000000000000e+02 6.582000000000000350e-02 4.294966588927089275e-03
4.300000000000000000e+02 6.224999999999999978e-02 3.983839605205008808e-03
4.350000000000000000e+02 6.551999999999999491e-02 4.091319835945363657e-03
4.400000000000000000e+02 6.542000000000000592e-02 4.379819402669475094e-03
4.450000000000000000e+02 6.500999999999999834e-02 4.354363558546760042e-03
4.500000000000000000e+02 6.572999999999999676e-02 4.379819402669475094e-03
4.550000000000000000e+02 6.647999999999999743e-02 4.608921999773916631e-03
4.600000000000000000e+02 6.296000000000000207e-02 4.439216372289144993e-03
4.650000000000000000e+02 6.155999999999999667e-02 4.078591913884006132e-03
4.700000000000000000e+02 6.155000000000000054e-02 3.645842563797838977e-03
4.750000000000000000e+02 6.101999999999999785e-02 4.064449778260275162e-03
4.800000000000000000e+02 6.315999999999999392e-02 4.703674308452913955e-03
4.850000000000000000e+02 6.561999999999999778e-02 4.477400138473218438e-03
4.900000000000000000e+02 6.528000000000000469e-02 4.058792924010782253e-03
4.950000000000000000e+02 6.378000000000000336e-02 4.084248768133498173e-03
5.000000000000000000e+02 5.822999999999999704e-02 4.154959446252153021e-03
5.050000000000000000e+02 6.658999999999999642e-02 4.238398046432165396e-03
5.100000000000000000e+02 6.793000000000000427e-02 4.283652880428105193e-03
5.150000000000000000e+02 6.600999999999999923e-02 4.770142345884450207e-03
5.200000000000000000e+02 6.543999999999999817e-02 4.833781956191238703e-03
5.250000000000000000e+02 6.876999999999999780e-02 4.058792924010782253e-03
5.300000000000000000e+02 6.646000000000000518e-02 4.343049850047775093e-03
5.350000000000000000e+02 6.836000000000000409e-02 4.306280297426074224e-03
5.400000000000000000e+02 6.675999999999999990e-02 4.562252952215604257e-03
5.450000000000000000e+02 6.511999999999999733e-02 4.799840830694283855e-03
5.500000000000000000e+02 6.103000000000000091e-02 4.391133111168460043e-03
5.550000000000000000e+02 6.497999999999999610e-02 4.502855982595934357e-03
5.600000000000000000e+02 6.605999999999999373e-02 3.993739100141620313e-03
5.650000000000000000e+02 6.776000000000000079e-02 4.136574669941303455e-03
5.700000000000000000e+02 6.256000000000000449e-02 4.118189893630453020e-03
5.750000000000000000e+02 6.414999999999999869e-02 3.992324886579247736e-03
5.800000000000000000e+02 6.515999999999999570e-02 4.041822361262305263e-03
5.850000000000000000e+02 6.517000000000000570e-02 4.091319835945363657e-03
5.900000000000000000e+02 6.680999999999999439e-02 4.996416515864144856e-03
5.950000000000000000e+02 6.623999999999999333e-02 4.415174741728802518e-03
6.000000000000000000e+02 6.418000000000000094e-02 4.436387945164398973e-03
6.050000000000000000e+02 6.589000000000000412e-02 4.184657931061988405e-03
6.100000000000000000e+02 6.264999999999999736e-02 4.234155405745046799e-03
6.150000000000000000e+02 6.457999999999999852e-02 3.870702520215160616e-03
6.200000000000000000e+02 6.449000000000000565e-02 3.862217238840922554e-03
6.250000000000000000e+02 6.536000000000000143e-02 3.775950211536163725e-03
6.300000000000000000e+02 6.705999999999999461e-02 3.846660889654818141e-03
6.350000000000000000e+02 6.786000000000000365e-02 4.128089388567064526e-03
6.400000000000000000e+02 6.349000000000000477e-02 4.379819402669475094e-03
6.450000000000000000e+02 6.357000000000000151e-02 3.976768537393143323e-03
6.500000000000000000e+02 6.612999999999999434e-02 4.433559518039652952e-03
6.550000000000000000e+02 6.490999999999999548e-02 4.106876185131468071e-03
6.600000000000000000e+02 6.579000000000000126e-02 4.238398046432165396e-03
6.650000000000000000e+02 6.317000000000000393e-02 4.186072144624360981e-03
6.700000000000000000e+02 6.461000000000000076e-02 4.077177700321632688e-03
6.750000000000000000e+02 6.419999999999999318e-02 3.978182750955515899e-03
6.800000000000000000e+02 6.221000000000000141e-02 3.696754252043270381e-03
6.850000000000000000e+02 6.140000000000000319e-02 4.136574669941303455e-03
6.900000000000000000e+02 6.029000000000000331e-02 3.879187801589399544e-03
6.950000000000000000e+02 6.119000000000000133e-02 3.467651654938828844e-03
7.000000000000000000e+02 6.285000000000000309e-02 4.074349273196886667e-03
7.100000000000000000e+02 6.264000000000000123e-02 3.807062909908371685e-03
7.200000000000000000e+02 6.686000000000000276e-02 3.802820269221252655e-03
7.300000000000000000e+02 6.479000000000000037e-02 3.657156272296823926e-03
7.400000000000000000e+02 6.221000000000000141e-02 3.651499418047331018e-03
7.500000000000000000e+02 6.476999999999999424e-02 4.070106632509767203e-03
7.600000000000000000e+02 6.510000000000000508e-02 3.534119692370364229e-03
7.700000000000000000e+02 6.076999999999999763e-02 3.522805983871379713e-03
7.800000000000000000e+02 6.173000000000000015e-02 3.873530947339907504e-03
7.900000000000000000e+02 6.212000000000000161e-02 3.262590688394730216e-03
8.000000000000000000e+02 6.257000000000000062e-02 3.340372434325250117e-03
8.100000000000000000e+02 6.564000000000000390e-02 3.777364425098536736e-03
8.200000000000000000e+02 6.425999999999999768e-02 3.387041481883562490e-03
8.300000000000000000e+02 6.232000000000000040e-02 3.488864858374425299e-03
8.400000000000000000e+02 6.954000000000000459e-02 3.624629360362242522e-03
8.500000000000000000e+02 6.329999999999999516e-02 3.508663848247648310e-03
8.600000000000000000e+02 6.433999999999999442e-02 4.010709662890097303e-03
8.700000000000000000e+02 6.393999999999999684e-02 3.839589821842953089e-03
8.800000000000000000e+02 6.214000000000000079e-02 3.610487224738511552e-03
8.900000000000000000e+02 6.267000000000000348e-02 4.259611249867761851e-03
9.000000000000000000e+02 6.882000000000000617e-02 4.126675175004691082e-03
9.100000000000000000e+02 6.679999999999999827e-02 3.824033472656849109e-03
9.200000000000000000e+02 6.542000000000000592e-02 3.671298407920554462e-03
9.300000000000000000e+02 6.364999999999999825e-02 3.722210096165985867e-03
9.400000000000000000e+02 6.436000000000000054e-02 3.398355190382547006e-03
9.500000000000000000e+02 6.759999999999999343e-02 3.717967455478866836e-03
9.600000000000000000e+02 6.918000000000000538e-02 3.565232390742572623e-03
9.700000000000000000e+02 6.661999999999999866e-02 3.931513703397203525e-03
9.800000000000000000e+02 6.575999999999999901e-02 3.336129793638131086e-03
9.900000000000000000e+02 6.875000000000000555e-02 3.918785781335846000e-03
1.000000000000000000e+03 6.643999999999999906e-02 3.716553241916493826e-03
1.010000000000000000e+03 6.279999999999999472e-02 3.320573444452027106e-03
1.020000000000000000e+03 6.485000000000000486e-02 3.811305550595491150e-03
1.030000000000000000e+03 6.642000000000000681e-02 4.020609157826708809e-03
1.040000000000000000e+03 6.582999999999999963e-02 3.829690326906341150e-03
1.050000000000000000e+03 6.988999999999999380e-02 4.186072144624360981e-03
1.060000000000000000e+03 6.422999999999999543e-02 3.539776546619856704e-03
1.070000000000000000e+03 6.711000000000000298e-02 4.244054900681657437e-03
1.080000000000000000e+03 6.714000000000000523e-02 4.607507786211543187e-03
1.090000000000000000e+03 6.350999999999999701e-02 3.616144078988003593e-03
1.100000000000000000e+03 6.364000000000000212e-02 3.669884194358181452e-03
1.110000000000000000e+03 6.421000000000000318e-02 3.548261827994095632e-03
1.120000000000000000e+03 6.250000000000000000e-02 4.058792924010782253e-03
1.130000000000000000e+03 6.444999999999999341e-02 3.708067960542255331e-03
1.140000000000000000e+03 6.622000000000000108e-02 3.758979648787686301e-03
1.150000000000000000e+03 6.773999999999999466e-02 3.874945160902280514e-03
1.160000000000000000e+03 6.719999999999999585e-02 3.412497326006277976e-03
1.170000000000000000e+03 6.750000000000000444e-02 3.952726906832799980e-03
1.180000000000000000e+03 6.272999999999999410e-02 3.751908580975821250e-03
1.190000000000000000e+03 6.425999999999999768e-02 4.026266012076200849e-03
