Circmon Q2 Parity Data with SFQ testpad rectmon radiator, maybe strong, R=8 kOhm
2021Sep Cooldown
Z:\mcdermott-group\data\Antenna\Circmon\Liu\CW20180514A_Ox2\J6Radiator_2021Sep28_Q124
Fitting method Chris' no white noise verison














# [VoltageBias(mDAC), ParityRate(sec^-1)]
#-------------------------------------------------------
0.000000000000000000e+00 3.200999999999999801e+01
5.000000000000000000e+00 2.996999999999999886e+01
1.000000000000000000e+01 3.137000000000000099e+01
1.500000000000000000e+01 3.155999999999999872e+01
1.600000000000000000e+01 3.302000000000000313e+01
1.800000000000000000e+01 3.169000000000000128e+01
2.000000000000000000e+01 2.976000000000000156e+01
2.200000000000000000e+01 3.445000000000000284e+01
2.400000000000000000e+01 3.546000000000000085e+01
2.600000000000000000e+01 4.731000000000000227e+01
2.800000000000000000e+01 9.173999999999999488e+01
3.000000000000000000e+01 5.485000000000000142e+01
3.200000000000000000e+01 5.035999999999999943e+01
3.400000000000000000e+01 5.074000000000000199e+01
3.600000000000000000e+01 7.928000000000000114e+01
3.800000000000000000e+01 9.404999999999999716e+01
4.000000000000000000e+01 1.203599999999999994e+02
4.200000000000000000e+01 1.220300000000000011e+02
4.400000000000000000e+01 1.686100000000000136e+02
4.600000000000000000e+01 1.903899999999999864e+02
4.800000000000000000e+01 1.483400000000000034e+02
5.000000000000000000e+01 8.381000000000000227e+01
5.200000000000000000e+01 7.912999999999999545e+01
5.400000000000000000e+01 9.220999999999999375e+01
5.600000000000000000e+01 8.376000000000000512e+01
5.800000000000000000e+01 1.015499999999999972e+02
6.000000000000000000e+01 1.195199999999999960e+02
6.200000000000000000e+01 1.437599999999999909e+02
6.400000000000000000e+01 1.896299999999999955e+02
6.600000000000000000e+01 3.103399999999999750e+02
6.800000000000000000e+01 3.608899999999999864e+02
7.000000000000000000e+01 4.269499999999999886e+02
7.200000000000000000e+01 4.491299999999999955e+02
7.400000000000000000e+01 3.686600000000000250e+02
7.600000000000000000e+01 4.055199999999999818e+02
7.800000000000000000e+01 5.305000000000000000e+02
8.000000000000000000e+01 6.791599999999999682e+02
8.200000000000000000e+01 6.927999999999999545e+02
8.400000000000000000e+01 5.407999999999999545e+02
8.600000000000000000e+01 3.759200000000000159e+02
8.800000000000000000e+01 2.796499999999999773e+02
9.000000000000000000e+01 3.053899999999999864e+02
9.200000000000000000e+01 2.739800000000000182e+02
9.400000000000000000e+01 2.686499999999999773e+02
9.600000000000000000e+01 2.159799999999999898e+02
9.800000000000000000e+01 1.736800000000000068e+02
1.000000000000000000e+02 1.638799999999999955e+02
1.050000000000000000e+02 1.432400000000000091e+02
1.100000000000000000e+02 1.450900000000000034e+02
1.150000000000000000e+02 1.485900000000000034e+02
1.200000000000000000e+02 1.780999999999999943e+02
1.250000000000000000e+02 1.984699999999999989e+02
1.300000000000000000e+02 2.343600000000000136e+02
1.350000000000000000e+02 2.948299999999999841e+02
1.400000000000000000e+02 3.291100000000000136e+02
1.450000000000000000e+02 3.791899999999999977e+02
1.600000000000000000e+02 5.556000000000000227e+02
1.700000000000000000e+02 6.993799999999999955e+02
1.800000000000000000e+02 9.570599999999999454e+02
1.900000000000000000e+02 1.245279999999999973e+03
2.000000000000000000e+02 1.494140000000000100e+03
2.100000000000000000e+02 1.600250000000000000e+03
