#Parameters = {C=8.1e-15; R=16600; a=1000; ep_eff=6; t=0.1}
#"Frequency / GHz"	"Loss in Lumped Elements [Real Part]"
#-------------------------------------------------------
200.00000000000	3.5102364557597e-13
205.00000000000	4.5484484496009e-13
215.00000000000	7.9855004965852e-13
220.00000000000	1.0939911729319e-12
225.00000000000	1.5469052602082e-12
230.00000000000	2.2775421310196e-12
235.00000000000	3.5222288518428e-12
240.00000000000	5.7073930360597e-12
245.00000000000	9.0841090156053e-12
250.00000000000	1.1123521490263e-11
255.00000000000	8.2003195805464e-12
260.00000000000	4.5557196659356e-12
265.00000000000	2.5182458511037e-12
270.00000000000	1.5127786674352e-12
275.00000000000	9.9527628788790e-13
280.00000000000	7.0508192929841e-13
285.00000000000	5.2590961767666e-13
290.00000000000	4.0615977069534e-13
295.00000000000	3.2283672793379e-13
300.00000000000	2.6389682386635e-13
305.00000000000	2.2053852799444e-13
310.00000000000	1.8719005844672e-13
315.00000000000	1.6185856736225e-13
320.00000000000	1.4380915783823e-13
325.00000000000	1.3198240013472e-13
335.00000000000	1.2140837254461e-13
345.00000000000	1.2124219693287e-13
350.00000000000	1.2412405725668e-13
355.00000000000	1.2929315715157e-13
365.00000000000	1.4828362731116e-13
375.00000000000	1.8170318400016e-13
385.00000000000	2.3422657393349e-13
395.00000000000	3.1583269505537e-13
405.00000000000	4.4786478442957e-13
415.00000000000	6.7023076454575e-13
425.00000000000	1.0350306355106e-12
435.00000000000	1.5036094643478e-12
445.00000000000	1.7009533626457e-12
450.00000000000	1.5730572980158e-12
455.00000000000	1.3402327612193e-12
465.00000000000	8.3777685330753e-13
475.00000000000	4.8178756534920e-13
485.00000000000	2.7424204716771e-13
490.00000000000	2.0920976221722e-13
495.00000000000	1.6148899023153e-13
500.00000000000	1.2615443279834e-13
505.00000000000	9.9623897237874e-14
510.00000000000	7.9439768743813e-14
515.00000000000	6.4005913300382e-14
520.00000000000	5.2211586113663e-14
525.00000000000	4.3251809069795e-14
530.00000000000	3.6457980263900e-14
535.00000000000	3.1283934589663e-14
540.00000000000	2.7317189078887e-14
545.00000000000	2.4285767601214e-14
550.00000000000	2.2021903458261e-14
555.00000000000	2.0411356093977e-14
560.00000000000	1.9382568282477e-14
565.00000000000	1.8878288570272e-14
570.00000000000	1.8856324673009e-14
575.00000000000	1.9280844989804e-14
580.00000000000	2.0108401808366e-14
585.00000000000	2.1294759632704e-14
590.00000000000	2.2775653012381e-14
595.00000000000	2.4480174784826e-14
