# Q2 P1 Data
# [AWGBias(mDAC), P1, Uncertainty]
#-------------------------------------------------------
0.000000000000000000e+00 2.125000000000000153e-02 2.365000000000000088e-02
5.000000000000000000e+00 2.129999999999999949e-02 2.239000000000000018e-02
1.000000000000000000e+01 2.174999999999999850e-02 2.225999999999999854e-02
1.500000000000000000e+01 2.221000000000000058e-02 2.477999999999999994e-02
2.000000000000000000e+01 2.247999999999999998e-02 1.909999999999999892e-02
2.500000000000000000e+01 2.384000000000000008e-02 2.375000000000000028e-02
2.750000000000000000e+01 2.164999999999999911e-02 2.594000000000000125e-02
3.000000000000000000e+01 2.249999999999999917e-02 2.216999999999999874e-02
3.250000000000000000e+01 2.850000000000000103e-02 2.378999999999999865e-02
3.489999999999999858e+01 2.633999999999999883e-02 2.443999999999999992e-02
3.740000000000000568e+01 3.124000000000000041e-02 2.972999999999999948e-02
4.000000000000000000e+01 2.588999999999999982e-02 2.735999999999999890e-02
4.100000000000000000e+01 2.810999999999999957e-02 2.860000000000000042e-02
4.200000000000000000e+01 2.801000000000000018e-02 2.752999999999999892e-02
4.300000000000000000e+01 2.834000000000000061e-02 2.888999999999999901e-02
4.400000000000000000e+01 2.851000000000000062e-02 2.859000000000000083e-02
4.500000000000000000e+01 3.064000000000000057e-02 2.764000000000000137e-02
4.600000000000000000e+01 2.486000000000000015e-02 3.039999999999999994e-02
4.700000000000000000e+01 3.176999999999999963e-02 2.987000000000000072e-02
4.800000000000000000e+01 3.366999999999999854e-02 2.954000000000000029e-02
4.900000000000000000e+01 3.227000000000000007e-02 2.846999999999999878e-02
5.000000000000000000e+01 3.898999999999999688e-02 3.075999999999999915e-02
5.100000000000000000e+01 3.470000000000000168e-02 2.851000000000000062e-02
5.200000000000000000e+01 4.071000000000000313e-02 2.721000000000000155e-02
5.300000000000000000e+01 3.472000000000000086e-02 2.946000000000000008e-02
5.400000000000000000e+01 3.767000000000000209e-02 3.057999999999999954e-02
5.500000000000000000e+01 4.053999999999999965e-02 3.180999999999999800e-02
5.600000000000000000e+01 3.892000000000000320e-02 2.971000000000000030e-02
5.700000000000000000e+01 3.599999999999999728e-02 3.096000000000000141e-02
5.800000000000000000e+01 3.606999999999999790e-02 3.005000000000000032e-02
5.900000000000000000e+01 3.552000000000000296e-02 2.628000000000000128e-02
6.000000000000000000e+01 3.329000000000000015e-02 3.125000000000000000e-02
6.100000000000000000e+01 3.139999999999999736e-02 2.675999999999999907e-02
6.200000000000000000e+01 2.399000000000000091e-02 2.675999999999999907e-02
6.300000000000000000e+01 2.901000000000000106e-02 2.492000000000000118e-02
6.400000000000000000e+01 2.537999999999999978e-02 2.742999999999999952e-02
6.500000000000000000e+01 2.739000000000000115e-02 2.844999999999999959e-02
6.600000000000000000e+01 2.855999999999999858e-02 2.605000000000000024e-02
6.700000000000000000e+01 2.374000000000000069e-02 2.565999999999999878e-02
6.800000000000000000e+01 2.747000000000000136e-02 2.536000000000000060e-02
6.900000000000000000e+01 2.825000000000000080e-02 2.530999999999999917e-02
7.000000000000000000e+01 2.427999999999999950e-02 2.698000000000000051e-02
7.000000000000000000e+01 2.587000000000000063e-02 2.628000000000000128e-02
7.250000000000000000e+01 2.627000000000000168e-02 2.744999999999999871e-02
7.500000000000000000e+01 2.340000000000000066e-02 2.526000000000000120e-02
7.750000000000000000e+01 2.350999999999999965e-02 2.461999999999999952e-02
8.000000000000000000e+01 2.350999999999999965e-02 2.639999999999999986e-02
8.250000000000000000e+01 2.470999999999999933e-02 2.616999999999999882e-02
8.500000000000000000e+01 2.494000000000000036e-02 2.529999999999999957e-02
8.750000000000000000e+01 2.627000000000000168e-02 2.144000000000000072e-02
9.000000000000000000e+01 2.340000000000000066e-02 2.318999999999999881e-02
9.250000000000000000e+01 2.784000000000000016e-02 2.535000000000000100e-02
9.500000000000000000e+01 2.718999999999999889e-02 2.603000000000000105e-02
9.750000000000000000e+01 2.463999999999999871e-02 2.724999999999999992e-02
1.000000000000000000e+02 2.668999999999999845e-02 2.435000000000000012e-02
1.050000000000000000e+02 2.494999999999999996e-02 2.598999999999999921e-02
1.100000000000000000e+02 2.378999999999999865e-02 2.724000000000000032e-02
1.150000000000000000e+02 2.725999999999999951e-02 3.004000000000000073e-02
1.200000000000000000e+02 2.514999999999999875e-02 2.708999999999999950e-02
1.250000000000000000e+02 2.610000000000000167e-02 2.595000000000000084e-02
1.300000000000000000e+02 2.687000000000000152e-02 2.674999999999999947e-02
1.350000000000000000e+02 2.983999999999999847e-02 2.988999999999999990e-02
1.400000000000000000e+02 2.999999999999999889e-02 2.844999999999999959e-02
1.450000000000000000e+02 3.482999999999999985e-02 2.820999999999999897e-02
1.500000000000000000e+02 3.150000000000000022e-02 2.912000000000000005e-02
1.550000000000000000e+02 3.397000000000000020e-02 2.765000000000000097e-02
1.600000000000000000e+02 3.957000000000000101e-02 3.100999999999999937e-02
1.650000000000000000e+02 3.538000000000000173e-02 2.917000000000000148e-02
1.700000000000000000e+02 4.064999999999999863e-02 2.988000000000000031e-02
1.750000000000000000e+02 4.041999999999999760e-02 3.257000000000000173e-02
1.800000000000000000e+02 4.089999999999999886e-02 2.825000000000000080e-02
1.850000000000000000e+02 4.018000000000000044e-02 3.137999999999999817e-02
1.900000000000000000e+02 4.567000000000000226e-02 2.906999999999999862e-02
1.950000000000000000e+02 4.299999999999999656e-02 2.884000000000000105e-02
2.000000000000000000e+02 4.456999999999999851e-02 2.895000000000000004e-02
2.050000000000000000e+02 4.263000000000000123e-02 2.932999999999999843e-02
2.100000000000000000e+02 4.644000000000000211e-02 3.002000000000000154e-02
2.150000000000000000e+02 4.741999999999999688e-02 2.838999999999999857e-02
2.200000000000000000e+02 4.300999999999999962e-02 2.741000000000000034e-02
2.250000000000000000e+02 4.959999999999999826e-02 2.989999999999999949e-02
2.300000000000000000e+02 4.821000000000000285e-02 3.155999999999999778e-02
2.350000000000000000e+02 4.850999999999999757e-02 3.084999999999999895e-02
2.400000000000000000e+02 5.147000000000000186e-02 3.087000000000000161e-02
2.450000000000000000e+02 5.050999999999999934e-02 3.111999999999999836e-02
