# Q2 Parity Data
# [VoltageBias(mV), ParityRate(sec^-1), Uncertainty, FitFidelity]
#-------------------------------------------------------
0.000000000000000000e+00 1.100874702775144556e+02 1.374592305806818349e+00 4.892513895994489159e-01
1.000000000000000000e+01 1.100812862472327254e+02 2.516074707477247152e+00 4.812421796132797525e-01
2.000000000000000000e+01 1.114624598247959284e+02 4.003872325341376381e+00 4.750948481702379489e-01
3.000000000000000000e+01 1.128854030547615821e+02 3.177612371160646543e+00 4.860988093865742377e-01
4.000000000000000000e+01 1.059469093726029030e+02 4.372956808287340458e+00 4.794595245946455253e-01
5.000000000000000000e+01 1.105060025670190669e+02 2.130298477784463795e+00 4.905223940499418012e-01
6.000000000000000000e+01 1.127610803612181769e+02 1.946222040082346005e+00 4.869736015889368774e-01
7.000000000000000000e+01 1.102466625723903491e+02 3.545024994396291262e+00 4.808006863501312900e-01
8.000000000000000000e+01 1.122040636232507467e+02 2.387314629707378622e+00 5.001788854796627160e-01
9.000000000000000000e+01 1.093292366615409321e+02 5.303371247775394259e+00 4.944119820567444701e-01
1.050000000000000000e+02 1.100117932170361712e+02 2.669006809857180862e+00 5.118854206585389255e-01
1.100000000000000000e+02 1.134193102601210938e+02 3.163103246505279298e+00 4.950760314847729715e-01
1.150000000000000000e+02 1.153116939738082891e+02 2.407693287572427732e+00 5.085483286900238653e-01
1.200000000000000000e+02 1.091769778489230447e+02 2.865177803313651683e+00 5.131919235533092261e-01
1.250000000000000000e+02 1.141040343127355783e+02 2.042344298525823554e+00 5.173005515504861540e-01
1.300000000000000000e+02 1.128397019285214071e+02 5.165795505367328788e-01 4.925951311037599645e-01
1.350000000000000000e+02 1.153882188485997915e+02 3.880884239500769883e+00 5.120958855108582730e-01
1.400000000000000000e+02 1.080289556104672499e+02 2.946470285328865568e+00 5.111995329863345816e-01
1.450000000000000000e+02 1.084578411475224868e+02 4.056694381839060171e+00 5.046430962502324036e-01
1.500000000000000000e+02 1.083688499611675979e+02 3.277620942282117422e+00 4.922613071941519536e-01
1.550000000000000000e+02 1.115478623189168985e+02 3.534398415846425223e+00 4.881501342344159444e-01
1.600000000000000000e+02 1.197445577649371842e+02 3.392498145536206433e+00 4.994113741555555319e-01
1.650000000000000000e+02 1.176175319890701303e+02 3.681977628633703148e+00 4.996953189320754163e-01
1.700000000000000000e+02 1.160112143743314164e+02 5.069169406373641884e+00 4.965896885298272667e-01
1.750000000000000000e+02 1.240051006869257009e+02 1.469824754431037661e+00 4.878046423084653749e-01
1.800000000000000000e+02 1.410410819717102981e+02 1.598664211857065531e+00 5.004222915465275090e-01
1.810000000000000000e+02 1.336971267130977594e+02 3.416179720403587083e+00 5.047416043772368077e-01
1.820000000000000000e+02 1.472444775345062453e+02 4.273635778239359695e+00 5.263919766244138376e-01
1.830000000000000000e+02 1.365196321520651850e+02 2.906276708768875672e+00 5.233798928687820595e-01
1.840000000000000000e+02 1.391819474181134240e+02 2.104912608389394535e+00 5.289845856548606173e-01
1.850000000000000000e+02 1.347872049270300749e+02 3.032284300041418135e+00 5.345422788073562748e-01
1.860000000000000000e+02 1.397864947557437461e+02 5.711204671502572161e+00 5.367559053613051301e-01
1.870000000000000000e+02 1.433515823005228356e+02 3.666032915422473781e+00 5.376408467348683384e-01
1.880000000000000000e+02 1.457029156649646495e+02 2.064944199991959550e+00 5.385818968511010274e-01
1.890000000000000000e+02 1.555337222103356396e+02 4.240206120768319487e+00 5.429487977914719821e-01
1.900000000000000000e+02 1.434237368375807762e+02 2.704757313117160056e+00 5.385251470168450627e-01
1.910000000000000000e+02 1.448693777644350007e+02 2.708839518158226767e+00 5.345421492787493234e-01
1.920000000000000000e+02 1.462608180093222927e+02 3.228995587133363543e+00 5.387378456844608143e-01
1.930000000000000000e+02 1.520482366911261920e+02 3.445995146696650746e+00 5.338366830637047977e-01
1.940000000000000000e+02 1.569998916359760983e+02 3.248633616915263644e+00 5.323266580834140616e-01
1.950000000000000000e+02 1.722346882974345590e+02 2.671479637252351491e+00 5.344187984866974883e-01
1.960000000000000000e+02 1.833558386352801222e+02 4.714463263771725643e+00 5.255650030650413917e-01
1.970000000000000000e+02 1.925243464583358275e+02 3.706697747077701610e+00 5.064622413489010544e-01
1.980000000000000000e+02 2.073854274307516903e+02 2.645688767502762939e+00 5.125650416956977207e-01
1.990000000000000000e+02 2.071495730363631083e+02 3.153331437480684674e+00 5.053527084675870640e-01
2.000000000000000000e+02 2.127598326015777275e+02 2.626879490352663549e+00 5.108352602443820833e-01
2.010000000000000000e+02 1.975599468548240623e+02 5.799302531331097299e+00 5.106743054421420958e-01
2.020000000000000000e+02 1.883934227997706330e+02 2.750770713331772033e+00 5.071299478701482011e-01
2.030000000000000000e+02 1.869602963851073127e+02 4.190726278840316787e+00 5.353853146394087492e-01
2.040000000000000000e+02 1.777373228597799084e+02 3.712172668185394819e+00 5.522058639261353541e-01
2.050000000000000000e+02 1.809244817850750735e+02 2.170809289361683270e+00 5.379135871770437394e-01
2.060000000000000000e+02 1.744570487708801352e+02 2.055158787503522433e+00 5.550071377787293425e-01
2.070000000000000000e+02 1.584973051913873405e+02 3.657897492267616180e+00 5.611948494400165188e-01
2.080000000000000000e+02 1.503137736591106659e+02 5.806409856751172605e+00 5.583955045028869968e-01
2.090000000000000000e+02 1.432525761501292152e+02 3.015537807708855933e+00 5.766246542989119650e-01
2.100000000000000000e+02 1.527395376726495613e+02 3.557759077227108158e+00 5.725417392250055082e-01
2.110000000000000000e+02 1.529284996870696034e+02 1.751963069300306319e+00 5.213924259274775874e-01
